11:24,,,17-Jun,,,,"Invested:
",,"4,600,370",12,,,"33,776",,,"31,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,30,DH,Date,Pos,Qty,EP,CMP,%Chan,Inv.,TP,TVA,TPR,PL,ED,EXP,PR,PP,IV,IP,NT,Qt,7,%Ch,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
NIFTYBEES,#N/A,#N/A,27-Jan-2025,0,400,255.36,278.9,0.00%,,,,,,28-Jan-2025,256.69,532,0.5,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,27-Jan-2025,0,400,255.35,278.9,0.00%,,,,,,28-Jan-2025,257.69,936,0.9,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARMABEES,#N/A,#N/A,27-Jan-2025,0,5000,21.69,22.28,0.00%,,,,,,28-Jan-2025,21.09,-3000,-2.8,509987,11.09,5,22900.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIDETF,#N/A,#N/A,27-Jan-2025,0,1100,91.64,93.75,0.00%,,,,,,28-Jan-2025,90.28,-1496,-1.5,215476,4.68,3,2220.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,29-Jan-2025,0,500,207.7,181.99,0.00%,,,,,,7-Feb-2025,211.8,2050,2.0,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,30-Jan-2025,0,500,206.24,181.99,0.00%,,,,,,5-Feb-2025,209.95,1855,1.8,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAFANG,#N/A,#N/A,31-Jan-2025,0,800,134.86,136,0.00%,,,,,,5-Feb-2025,137.61,2200,2.0,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONQ50,#N/A,#N/A,31-Jan-2025,1,1200,90.24,74.33,-17.63%,108288,101.07,121283,"₹12,995","-19,092",,,,,108288,2.35,1,1200.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTYBEES,#N/A,#N/A,31-Jan-2025,1,400,262.12,278.9,6.40%,104848,293.57,117430,"₹12,582","6,712",,,,,104848,2.28,1,400.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,31-Jan-2025,1,2400,43.9,40.74,-7.20%,105360,49.17,118003,"₹12,643","-7,584",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,31-Jan-2025,0,1500,68.94,82.61,0.00%,,,,,,5-Feb-2025,70.85,2865,2.8,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,31-Jan-2025,1,1700,59.49,58.3,-2.00%,101133,66.63,113269,"₹12,136","-2,023",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MON100,#N/A,#N/A,1-Feb-2025,0,500,202.45,181.99,0.00%,,,,,,4-Feb-2025,206.83,2190,2.2,106045,2.31,1,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,1-Feb-2025,0,1000,124.78,126.92,0.00%,,,,,,1-Feb-2025,126.5,1720,1.4,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,31-Jan-2025,0,1200,90.21,103.65,0.00%,,,,,,31-Jan-2024,90.06,-180,-0.2,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
